time,open,high,low,close,volume
2024-09-30 22:00:00,1.11324,1.11331,1.11219,1.11226,826
2024-09-30 22:15:00,1.11226,1.11297,1.11217,1.1127,587
2024-09-30 22:30:00,1.11266,1.11316,1.1125,1.11308,526
2024-09-30 22:45:00,1.11308,1.11363,1.11306,1.11325,779
2024-09-30 23:00:00,1.11328,1.1134,1.11304,1.11336,465
2024-09-30 23:15:00,1.11337,1.11366,1.1132900000000001,1.11358,303
2024-09-30 23:30:00,1.11358,1.11362,1.11331,1.11353,252
2024-09-30 23:45:00,1.11352,1.11355,1.11348,1.11349,262
2024-10-01 00:00:00,1.11346,1.11346,1.11236,1.11331,126
2024-10-01 00:15:00,1.11332,1.11343,1.11317,1.11337,333
2024-10-01 00:30:00,1.11337,1.11344,1.11334,1.11341,114
2024-10-01 00:45:00,1.11342,1.1136,1.11339,1.11353,160
2024-10-01 01:00:00,1.11356,1.11375,1.11347,1.11375,156
2024-10-01 01:15:00,1.11376,1.114,1.11374,1.11394,122
2024-10-01 01:30:00,1.11394,1.11414,1.11392,1.11405,149
2024-10-01 01:45:00,1.11405,1.1142,1.11405,1.11416,155
2024-10-01 02:00:00,1.11416,1.11427,1.11408,1.11412,266
2024-10-01 02:15:00,1.11412,1.11427,1.11385,1.1139000000000001,264
2024-10-01 02:30:00,1.11391,1.11395,1.11368,1.11369,211
2024-10-01 02:45:00,1.11369,1.1138,1.11357,1.11367,173
2024-10-01 03:00:00,1.11368,1.11374,1.11345,1.11359,736
2024-10-01 03:15:00,1.11359,1.11363,1.11336,1.11345,621
2024-10-01 03:30:00,1.11346,1.1135,1.11273,1.11293,440
2024-10-01 03:45:00,1.11293,1.11331,1.11293,1.11323,565
2024-10-01 04:00:00,1.11323,1.11345,1.11314,1.1133,579
2024-10-01 04:15:00,1.1133,1.11382,1.1133,1.11375,463
2024-10-01 04:30:00,1.11374,1.1141,1.11374,1.11405,501
2024-10-01 04:45:00,1.11404,1.11435,1.11403,1.11432,554
2024-10-01 05:00:00,1.1143399999999999,1.11435,1.1138,1.11381,327
2024-10-01 05:15:00,1.11381,1.11415,1.11379,1.11395,289
2024-10-01 05:30:00,1.11395,1.11406,1.11361,1.11404,320
2024-10-01 05:45:00,1.11404,1.11409,1.11387,1.1139000000000001,241
2024-10-01 06:00:00,1.11391,1.11401,1.11387,1.11393,257
2024-10-01 06:15:00,1.11393,1.11396,1.11362,1.11372,307
2024-10-01 06:30:00,1.11371,1.11385,1.11355,1.11385,360
2024-10-01 06:45:00,1.11385,1.114,1.11378,1.11378,452
2024-10-01 07:00:00,1.11378,1.11384,1.11359,1.1136,280
2024-10-01 07:15:00,1.1136,1.11376,1.11348,1.11374,239
2024-10-01 07:30:00,1.11374,1.11395,1.1137299999999999,1.11378,310
2024-10-01 07:45:00,1.11379,1.11414,1.11378,1.11407,360
2024-10-01 08:00:00,1.11409,1.11419,1.11381,1.11407,432
2024-10-01 08:15:00,1.1141,1.11423,1.11388,1.11419,324
2024-10-01 08:30:00,1.11419,1.11442,1.11414,1.1142,453
2024-10-01 08:45:00,1.11421,1.11421,1.11364,1.11376,537
2024-10-01 09:00:00,1.11374,1.1138,1.1131,1.1132,821
2024-10-01 09:15:00,1.11319,1.11412,1.11315,1.11382,558
2024-10-01 09:30:00,1.11382,1.11409,1.11323,1.11335,666
2024-10-01 09:45:00,1.11335,1.11354,1.11321,1.11346,721
2024-10-01 10:00:00,1.11346,1.11371,1.11117,1.11135,1609
2024-10-01 10:15:00,1.11135,1.11271,1.11135,1.11203,1270
2024-10-01 10:30:00,1.11201,1.11237,1.11163,1.11226,1179
2024-10-01 10:45:00,1.11227,1.11227,1.11129,1.11151,1033
2024-10-01 11:00:00,1.11156,1.11181,1.11017,1.11042,1105
2024-10-01 11:15:00,1.11042,1.11118,1.11007,1.11115,995
2024-10-01 11:30:00,1.11115,1.11202,1.11088,1.1109,809
2024-10-01 11:45:00,1.1109,1.1109499999999999,1.10981,1.11031,942
2024-10-01 12:00:00,1.11031,1.11133,1.11028,1.11123,1105
2024-10-01 12:15:00,1.11123,1.11147,1.11035,1.11055,729
2024-10-01 12:30:00,1.11055,1.11072,1.10952,1.10957,743
2024-10-01 12:45:00,1.10957,1.10957,1.10922,1.10952,749
2024-10-01 13:00:00,1.10952,1.10977,1.10897,1.10931,797
2024-10-01 13:15:00,1.10932,1.10935,1.10874,1.1088,837
2024-10-01 13:30:00,1.1088,1.10892,1.1085,1.10856,726
2024-10-01 13:45:00,1.10857,1.10871,1.1084,1.10871,604
2024-10-01 14:00:00,1.10871,1.11,1.10871,1.10922,839
2024-10-01 14:15:00,1.10923,1.10967,1.10861,1.10864,780
2024-10-01 14:30:00,1.10864,1.10875,1.10814,1.10842,673
2024-10-01 14:45:00,1.10844,1.10866,1.10787,1.10847,1181
2024-10-01 15:00:00,1.10847,1.10888,1.108,1.10802,1120
2024-10-01 15:15:00,1.10802,1.10812,1.10752,1.10795,1115
2024-10-01 15:30:00,1.10795,1.10808,1.1072899999999999,1.10742,1060
2024-10-01 15:45:00,1.10741,1.1077,1.10702,1.10712,881
2024-10-01 16:00:00,1.10712,1.10807,1.10709,1.10782,1077
2024-10-01 16:15:00,1.10782,1.10825,1.10752,1.1077,787
2024-10-01 16:30:00,1.1077,1.10831,1.10606,1.10648,2205
