time,open,high,low,close,volume
2024-01-02 00:00:00,1.1042399999999999,1.10438,1.10413,1.10437,114
2024-01-02 01:00:00,1.10433,1.10445,1.10357,1.10366,806
2024-01-02 02:00:00,1.10367,1.10384,1.10343,1.10383,893
2024-01-02 03:00:00,1.1038000000000001,1.10434,1.10343,1.10349,1936
2024-01-02 04:00:00,1.1035,1.10359,1.10183,1.1019,1645
2024-01-02 05:00:00,1.1019,1.10248,1.10177,1.10246,1056
2024-01-02 06:00:00,1.10246,1.10249,1.10167,1.10211,861
2024-01-02 07:00:00,1.10211,1.10337,1.1021,1.10335,1386
2024-01-02 08:00:00,1.10336,1.10352,1.10269,1.10286,1396
2024-01-02 09:00:00,1.10287,1.1038000000000001,1.10152,1.10154,3453
2024-01-02 10:00:00,1.1016,1.10389,1.1016,1.10298,4704
2024-01-02 11:00:00,1.10298,1.1038000000000001,1.10108,1.10152,3622
2024-01-02 12:00:00,1.10149,1.10171,1.09972,1.1007500000000001,3647
2024-01-02 13:00:00,1.10071,1.10076,1.09666,1.09693,4493
2024-01-02 14:00:00,1.09694,1.0971899999999999,1.09537,1.09539,3474
2024-01-02 15:00:00,1.09539,1.09651,1.09494,1.09529,4705
2024-01-02 16:00:00,1.09528,1.09642,1.09448,1.09632,5990
2024-01-02 17:00:00,1.09632,1.09684,1.09411,1.09436,6922
2024-01-02 18:00:00,1.09438,1.09617,1.09409,1.09566,4234
2024-01-02 19:00:00,1.09566,1.09576,1.09458,1.09506,2932
2024-01-02 20:00:00,1.09506,1.09561,1.09464,1.09467,2301
2024-01-02 21:00:00,1.09466,1.0950199999999999,1.09428,1.09466,1713
2024-01-02 22:00:00,1.09465,1.09513,1.09422,1.09432,2162
2024-01-02 23:00:00,1.0943100000000001,1.09432,1.09383,1.09412,1144
2024-01-03 00:00:00,1.09421,1.09433,1.09378,1.09407,667
2024-01-03 01:00:00,1.09411,1.09439,1.0941,1.09415,609
2024-01-03 02:00:00,1.09416,1.09507,1.09413,1.09495,843
2024-01-03 03:00:00,1.09493,1.09549,1.09449,1.09515,1818
2024-01-03 04:00:00,1.09515,1.09532,1.09486,1.09523,1309
2024-01-03 05:00:00,1.09521,1.09622,1.09488,1.09609,1112
2024-01-03 06:00:00,1.09608,1.09625,1.09589,1.09624,877
2024-01-03 07:00:00,1.09625,1.09629,1.09513,1.09514,1234
2024-01-03 08:00:00,1.09513,1.09609,1.09512,1.09588,1320
2024-01-03 09:00:00,1.09582,1.09628,1.09515,1.09605,2726
2024-01-03 10:00:00,1.09603,1.09655,1.09503,1.09527,4227
2024-01-03 11:00:00,1.09526,1.09563,1.09348,1.09364,3733
2024-01-03 12:00:00,1.09364,1.09391,1.09261,1.0928,2982
2024-01-03 13:00:00,1.09279,1.09299,1.09154,1.09196,3477
2024-01-03 14:00:00,1.09196,1.09323,1.09145,1.09168,3328
2024-01-03 15:00:00,1.09167,1.09301,1.09102,1.09217,5683
2024-01-03 16:00:00,1.09218,1.09266,1.09097,1.09185,6128
2024-01-03 17:00:00,1.09155,1.09388,1.08981,1.09047,9851
2024-01-03 18:00:00,1.09047,1.09183,1.09028,1.09082,5427
2024-01-03 19:00:00,1.09081,1.09103,1.09034,1.09067,3248
2024-01-03 20:00:00,1.09067,1.09149,1.09028,1.09059,3144
2024-01-03 21:00:00,1.09059,1.0925799999999999,1.0893,1.09177,7897
2024-01-03 22:00:00,1.09178,1.09234,1.0915,1.09213,4160
2024-01-03 23:00:00,1.0921,1.09235,1.09186,1.0922,1200
2024-01-04 00:00:00,1.09209,1.09222,1.09144,1.09207,618
2024-01-04 01:00:00,1.09211,1.09277,1.09211,1.09261,967
2024-01-04 02:00:00,1.09261,1.09267,1.0919699999999999,1.09226,1323
2024-01-04 03:00:00,1.09225,1.09241,1.09164,1.09178,1782
2024-01-04 04:00:00,1.09178,1.09201,1.0916,1.09195,1243
2024-01-04 05:00:00,1.09194,1.09308,1.09194,1.09263,1506
2024-01-04 06:00:00,1.09262,1.09288,1.09247,1.09261,1087
2024-01-04 07:00:00,1.0926,1.0927,1.0922,1.09266,1748
2024-01-04 08:00:00,1.09268,1.09347,1.09209,1.09325,2152
2024-01-04 09:00:00,1.09323,1.09438,1.09295,1.09377,3569
2024-01-04 10:00:00,1.09376,1.09561,1.09346,1.09534,5007
2024-01-04 11:00:00,1.09533,1.09692,1.09454,1.09676,4719
2024-01-04 12:00:00,1.0968,1.09723,1.09544,1.09556,3335
2024-01-04 13:00:00,1.09557,1.09579,1.09462,1.09479,2493
2024-01-04 14:00:00,1.09479,1.09559,1.09468,1.09524,2728
2024-01-04 15:00:00,1.09524,1.09554,1.09327,1.09472,6216
2024-01-04 16:00:00,1.09471,1.09506,1.09382,1.09455,6370
2024-01-04 17:00:00,1.09454,1.09654,1.09454,1.09552,6459
2024-01-04 18:00:00,1.09554,1.0964,1.09543,1.09562,4583
2024-01-04 19:00:00,1.09562,1.09599,1.09419,1.09506,3030
2024-01-04 20:00:00,1.09505,1.09544,1.0946,1.0947,2325
2024-01-04 21:00:00,1.0947,1.09499,1.09434,1.0947,1992
2024-01-04 22:00:00,1.09469,1.09493,1.09432,1.09493,2205
2024-01-04 23:00:00,1.0949,1.095,1.09447,1.09456,1013
2024-01-05 00:00:00,1.09413,1.09494,1.09413,1.09469,1164
2024-01-05 01:00:00,1.09473,1.09491,1.09433,1.09464,566
2024-01-05 02:00:00,1.09464,1.09516,1.09444,1.09509,1425
2024-01-05 03:00:00,1.09509,1.0956,1.09501,1.09516,1950
2024-01-05 04:00:00,1.09517,1.09542,1.09466,1.09469,1231
2024-01-05 05:00:00,1.09469,1.09474,1.09391,1.09393,1248
2024-01-05 06:00:00,1.09393,1.09412,1.09365,1.09373,1028
2024-01-05 07:00:00,1.09372,1.0937999999999999,1.09341,1.09374,1424
2024-01-05 08:00:00,1.09374,1.09374,1.0924800000000001,1.09278,2060
2024-01-05 09:00:00,1.09279,1.09335,1.09226,1.09233,2670
2024-01-05 10:00:00,1.09232,1.0925799999999999,1.09034,1.09078,3886
2024-01-05 11:00:00,1.09077,1.0930900000000001,1.09028,1.09129,3820
2024-01-05 12:00:00,1.09131,1.09139,1.09037,1.09128,2868
2024-01-05 13:00:00,1.09128,1.09176,1.09101,1.09141,2468
2024-01-05 14:00:00,1.09142,1.09209,1.09137,1.09177,2545
2024-01-05 15:00:00,1.09178,1.0928,1.08768,1.09212,10581
2024-01-05 16:00:00,1.09214,1.09549,1.09214,1.09494,9546
2024-01-05 17:00:00,1.09602,1.09985,1.09602,1.09783,11917
2024-01-05 18:00:00,1.09784,1.09806,1.0953,1.0956,6424
2024-01-05 19:00:00,1.0956,1.09562,1.09432,1.09464,5112
2024-01-05 20:00:00,1.09462,1.09562,1.09353,1.0954,3858
2024-01-05 21:00:00,1.09541,1.09598,1.09433,1.09453,3431
2024-01-05 22:00:00,1.09452,1.09472,1.09357,1.09393,2588
2024-01-05 23:00:00,1.09393,1.09424,1.0937000000000001,1.09413,1125
2024-01-08 00:00:00,1.09428,1.09454,1.09392,1.09439,398
2024-01-08 01:00:00,1.09453,1.09458,1.09349,1.09417,922
2024-01-08 02:00:00,1.09417,1.09494,1.09403,1.09487,1035
2024-01-08 03:00:00,1.09484,1.09532,1.0947,1.09481,1625
2024-01-08 04:00:00,1.09475,1.09479,1.0936,1.09372,1398
2024-01-08 05:00:00,1.09371,1.09393,1.09315,1.0933,1401
2024-01-08 06:00:00,1.0933,1.09372,1.09306,1.09341,1100
2024-01-08 07:00:00,1.09342,1.09376,1.09322,1.09376,1453
2024-01-08 08:00:00,1.09375,1.09468,1.09363,1.09459,1524
2024-01-08 09:00:00,1.09459,1.09523,1.09395,1.09453,3265
2024-01-08 10:00:00,1.09454,1.09455,1.09295,1.09337,4986
2024-01-08 11:00:00,1.09337,1.09424,1.09226,1.09371,3870
2024-01-08 12:00:00,1.09385,1.09435,1.09344,1.09425,3275
2024-01-08 13:00:00,1.09425,1.09506,1.09369,1.0937999999999999,2924
2024-01-08 14:00:00,1.0937999999999999,1.09483,1.09372,1.09447,3192
2024-01-08 15:00:00,1.09447,1.09563,1.09427,1.09509,4848
2024-01-08 16:00:00,1.09508,1.09628,1.09494,1.09603,6215
2024-01-08 17:00:00,1.09603,1.09747,1.0955300000000001,1.09697,5071
2024-01-08 18:00:00,1.09697,1.09788,1.09683,1.09754,4497
2024-01-08 19:00:00,1.09753,1.09788,1.09625,1.09646,2423
2024-01-08 20:00:00,1.09646,1.09657,1.09489,1.09554,1923
2024-01-08 21:00:00,1.09554,1.09628,1.09531,1.09611,2043
2024-01-08 22:00:00,1.09611,1.09611,1.09494,1.09547,2161
2024-01-08 23:00:00,1.09546,1.09562,1.09494,1.0950199999999999,1209
2024-01-09 00:00:00,1.09491,1.09547,1.09485,1.09498,937
2024-01-09 01:00:00,1.0949200000000001,1.09528,1.0949200000000001,1.09498,709
